sku,name,category,starting_price,supplier_price,min_quantity,short_description,description,image_url,supplier_url,colors,decoration_methods,industries,lead_time,setup_fee,material,dimensions,supplier_inventory,inventory_status,is_active
GC16,Rio 16 oz Can Shaped Glass,Drinkware,3.60,3.60,144,16 oz can shaped promotional glass,Customizable 16 oz can shaped glass suitable for branded drinkware programs.,,,,,,,,Varies by product,Varies,,,,"unknown",true
STG,Pecos 10 oz Stacking Glass,Drinkware,3.50,3.50,144,10 oz stacking promotional glass,Stackable 10 oz glass designed for custom promotional branding.,,,,,,,,Varies by product,Varies,,,,"unknown",true
GSBL16,Capote 16 oz Glass and Bamboo To Go Tumbler with Straw,Drinkware,6.65,6.65,150,Glass and bamboo tumbler with straw,16 oz promotional glass tumbler featuring a bamboo lid and reusable straw.,,,,,,,,Varies by product,Varies,,,,"unknown",true
FGC11,Guadalupe 11 oz Frosted C Handle Mug,Drinkware,5.55,5.55,144,11 oz frosted handle mug,Customizable 11 oz frosted glass mug with C-shaped handle.,,,,,,,,Varies by product,Varies,,,,"unknown",true
CCB11,Mesa 11 oz Ceramic Mug with Cork Bottom,Drinkware,5.75,5.75,144,Ceramic mug with cork base,11 oz promotional ceramic mug featuring a natural cork bottom.,,,,,,,,Varies by product,Varies,Ceramic and cork,,,"unknown",true
STW11,Lano White 11 oz Soft Touch Mug - White Interior,Drinkware,6.55,6.55,144,Soft touch ceramic mug,11 oz promotional soft-touch mug with white interior.,,,,,,,,Varies by product,Varies,Ceramic,,,"unknown",true
4647EV,16 oz Maplewood Libbey Mason Jar with Handle,Drinkware,4.45,4.45,72,16 oz mason jar with handle,Libbey-style 16 oz promotional mason jar featuring a handle.,,,,,,,,Varies by product,Varies,Glass,,,"unknown",true
DWCM8,Laguna 8.4 oz Double Walled Color Glass Mug,Drinkware,11.15,11.15,144,Double-walled colored glass mug,8.4 oz double-wall promotional glass mug.,,,,,,,,Varies by product,Varies,Glass,,,"unknown",true
GBM11,Amista 11 oz Glass Bistro Mug,Drinkware,3.49,3.49,144,11 oz glass bistro mug,Classic 11 oz promotional glass bistro-style mug.,,,,,,,,Varies by product,Varies,Glass,,,"unknown",true
4800,12 oz Java Ceramic Mug with Cork Base,Drinkware,7.65,7.65,72,Ceramic mug with cork base,12 oz customizable ceramic mug with natural cork base.,,,,,,,,Varies by product,Varies,Ceramic and cork,,,"unknown",true
4875EV,16 oz Richmond Reactive Glaze Ceramic Mug,Drinkware,5.75,5.75,144,Reactive glaze ceramic mug,16 oz promotional ceramic mug with reactive glaze finish.,,,,,,,,Varies by product,Varies,Ceramic,,,"unknown",true
CTMCS13,Medina 13.5 oz Speckled Ceramic Tapered Mug,Drinkware,5.20,5.20,144,Speckled tapered ceramic mug,13.5 oz promotional ceramic tapered mug with speckled finish.,,,,,,,,Varies by product,Varies,Ceramic,,,"unknown",true
